"Metric 1: Fossil energy content of Hawaii fuel use (BTU) per capita","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","","","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"","","","","","","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"Variable EC(c,s,y): Fossil fuel consumption of energy source by year, sector, and fuel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","Direct Fuel Use","","","","","15474","20307","20796","20393","20801","23006","23286","26341","24721","25784","27383","24229","26454","26839","24976","24060","24788","25909","24653","31556","36409","32317","39153","23203","20445","23944","31226","32933","49716","43923","44295","38871","46263","37767","43899","41170","41021","37959","42913","29096","30863","28839","29528","29592","30141","34174","33665","30615","29171","34467","34314","34806","32520","33244","","","","","","","","","","","","","","","","",""
"ResidentialPetroleum","Petroleum","PARCB","Billion Btu","216","","100","131","174","167","178","196","222","296","337","710","769","902","823","849","821","549","861","905","852","1273","738","697","651","773","160","173","166","207","237","239","219","225","705","160","163","157","184","340","960","545","744","755","758","562","573","584","616","498","1036","935","918","854","1252","838","846","506","690","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ResidentialDistillate fuel oil","Distillate fuel oil","DFRCB","Billion Btu","44","","2","3","2","3","3","3","4","3","4","6","8","6","6","6","4","4","4","5","6","12","6","6","0","4","4","2","4","4","9","2","2","2","2","11","10","10","1","3","2","2","2","2","2","2","2","1","19","19","30","16","1","1","0","0","0","2","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ResidentialLPG","LPG","LGRCB","Billion Btu","135","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ResidentialSynthetic Natural Gas","Synthetic Natural Gas","NGRCB","Billion Btu","184","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1364","1236","1184","1147","1075","676","629","631","607","610","605","589","592","592","607","601","571","533","565","552","560","557","571","562","549","535","542","528","520","530","529","509","503","585","559","562","560","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ResidentialCoal","Coal","CLRCB","Billion Btu","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ResidentialAll Fuels","All Fuels","","Billion Btu","","","100","131","174","167","178","196","222","296","337","710","769","902","823","849","821","549","861","905","852","1273","2102","1933","1835","1920","1235","849","795","838","844","849","824","814","1297","752","770","758","755","873","1525","1097","1304","1312","1329","1124","1122","1119","1158","1026","1556","1465","1447","1363","1755","1423","1405","1068","1250","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
