"Metric 16: EEPS","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"EEPS Chart 2 Title","Electricity Saved in 2009","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input 1","","#N/A","HECO","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","#N/A","HELCO","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","#N/A","MECO","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","#N/A","KIUC","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","#N/A","Total","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","19037","438855","497349","619361","750126","808848","916420","1027328","1209628","1320005","1415773","1511189","33549","34900","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Bar Chart input/ Pie Graph Input","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Year","2009","","","Notes","Energy Efficiency","Total Electricity Sales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total EE","Total EEHECO","HECO","","Notes","738245","7377537","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total EEHELCO","HELCO","","Notes","64261","1119881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total EEMECO","MECO","","Notes","117085","1192243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total EEKIUC","KIUC","","Notes","19217","460513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total EETotal","Total","","Notes","938808","10150174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input Final","","#N/A","#N/A","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","#N/A","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","#N/A","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","#N/A","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","#N/A","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","19037","438855","497349","619361","750126","808848","916420","1027328","1209628","1320005","1415773","1511189","33549","34900","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
